packet_rate,byte_rate,mean_pkt_size,max_pkt_size,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,syn_to_ack_ratio,rst_to_syn_ratio,tcp_to_total_ratio,udp_packet_count,udp_to_total_ratio,icmp_packet_count,icmp_to_total_ratio,icmp_echo_request_count,icmp_echo_reply_count,icmp_reply_to_request_ratio,arp_request_count,arp_reply_count,arp_reply_ratio,ip_mac_mapping_changes,dns_query_count,dns_response_count,dns_reply_to_query_ratio,dns_avg_response_size,dns_ttl_mean,stp_packet_count,igmp_packet_count,igmp_join_count,unique_src_ip_count,unique_dst_ip_count,unique_dst_ports,broadcast_pkt_count,multicast_pkt_count,label
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
40,1680,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,40,1,1,0,0,40,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
36,1512,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,36,36,1,1,0,0,36,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
39,1638,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,39,39,1,1,0,0,39,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
43,1806,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,43,1,1,0,0,43,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
41,1722,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,41,41,1,1,0,0,41,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
48,2016,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,48,48,1,1,0,0,48,IGMP_Spoof
42,1764,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,42,42,1,1,0,0,42,IGMP_Spoof
44,1848,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,44,44,1,1,0,0,44,IGMP_Spoof
46,1932,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,46,46,1,1,0,0,46,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
45,1890,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,45,1,1,0,0,45,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
45,1890,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,45,1,1,0,0,45,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
42,1764,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,42,42,1,1,0,0,42,IGMP_Spoof
46,1932,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,46,46,1,1,0,0,46,IGMP_Spoof
59,2478,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,59,59,1,1,0,0,59,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
48,2016,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,48,48,1,1,0,0,48,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
49,2058,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,49,49,1,1,0,0,49,IGMP_Spoof
22,924,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,22,22,1,1,0,0,22,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
49,2058,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,49,49,1,1,0,0,49,IGMP_Spoof
47,1974,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,47,47,1,1,0,0,47,IGMP_Spoof
46,1932,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,46,46,1,1,0,0,46,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
47,1974,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,47,47,1,1,0,0,47,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
44,1848,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,44,44,1,1,0,0,44,IGMP_Spoof
41,1722,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,41,41,1,1,0,0,41,IGMP_Spoof
49,2058,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,49,49,1,1,0,0,49,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
60,2520,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,60,60,1,1,0,0,60,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
46,1932,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,46,46,1,1,0,0,46,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
47,1974,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,47,47,1,1,0,0,47,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
61,2562,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,61,61,1,1,0,0,61,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
46,1932,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,46,46,1,1,0,0,46,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
60,2520,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,60,60,1,1,0,0,60,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
63,2646,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,63,63,1,1,0,0,63,IGMP_Spoof
59,2478,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,59,59,1,1,0,0,59,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
45,1890,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,45,1,1,0,0,45,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
57,2394,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,57,57,1,1,0,0,57,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
32,1344,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,32,32,1,1,0,0,32,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
55,2310,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,55,55,1,1,0,0,55,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
59,2478,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,59,59,1,1,0,0,59,IGMP_Spoof
59,2478,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,59,59,1,1,0,0,59,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
35,1470,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,35,35,1,1,0,0,35,IGMP_Spoof
61,2562,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,61,61,1,1,0,0,61,IGMP_Spoof
58,2436,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,58,58,1,1,0,0,58,IGMP_Spoof
41,1722,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,41,41,1,1,0,0,41,IGMP_Spoof
60,2520,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,60,60,1,1,0,0,60,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
47,1974,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,47,47,1,1,0,0,47,IGMP_Spoof
35,1470,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,35,35,1,1,0,0,35,IGMP_Spoof
41,1722,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,41,41,1,1,0,0,41,IGMP_Spoof
54,2268,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,54,1,1,0,0,54,IGMP_Spoof
53,2226,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,53,53,1,1,0,0,53,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
52,2184,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,52,52,1,1,0,0,52,IGMP_Spoof
50,2100,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,50,50,1,1,0,0,50,IGMP_Spoof
60,2520,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,60,60,1,1,0,0,60,IGMP_Spoof
45,1890,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,45,1,1,0,0,45,IGMP_Spoof
56,2352,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,56,56,1,1,0,0,56,IGMP_Spoof
51,2142,42.0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,51,51,1,1,0,0,51,IGMP_Spoof
